Expression	Value	Location	Type	
[93]	2.4770053644E-5	0x20003D80	float	
[94]	2.52127665E-5	0x20003D84	float	
[95]	2.45079372E-5	0x20003D88	float	
[96]	2.05263149E-5	0x20003D8C	float	
[97]	2.42513087E-5	0x20003D90	float	
[98]	2.43958329E-5	0x20003D94	float	
[99]	2.4000000844E-5	0x20003D98	float	
[100]	2.41443303E-5	0x20003D9C	float	
[101]	1.9733333822E-5	0x20003DA0	float	
[102]	2.38979591E-5	0x20003DA4	float	
[103]	2.3512689944E-5	0x20003DA8	float	
[104]	2.36565665E-5	0x20003DAC	float	
[105]	2.2994974644E-5	0x20003DB0	float	
[106]	1.89399998E-5	0x20003DB4	float	
[107]	1.8587064911E-5	0x20003DB8	float	
[108]	2.31881185E-5	0x20003DBC	float	
[109]	1.84039418E-5	0x20003DC0	float	
[110]	2.2960784911E-5	0x20003DC4	float	
[111]	1.82243893E-5	0x20003DC8	float	
[112]	2.2737864122E-5	0x20003DCC	float	
[113]	1.80483093E-5	0x20003DD0	float	
[114]	2.25192307E-5	0x20003DD4	float	
[115]	2.1894737E-5	0x20003DD8	float	
[116]	1.8838094544E-5	0x20003DDC	float	
[117]	2.2488151444E-5	0x20003DE0	float	
[118]	2.2948113833E-5	0x20003DE4	float	
[119]	2.27840373E-5	0x20003DE8	float	
[120]	2.2733644E-5	0x20003DEC	float	
